H,LOAD,PV,Tarif
0.0,5.25,0.0,0.22
1.0,5.3,0.0,0.21
2.0,0.0,0.0,0.21
3.0,10.3,0.0,0.21
4.0,20.61,0.0,0.35
5.0,40.23,0.0,0.4
6.0,58.5,7.44,0.45
7.0,79.6,20.5,0.35200000000000004
8.0,76.0,37.4,0.39
9.0,43.03,50.2,0.38
10.0,23.77,69.4,0.365
11.0,59.36,59.75,0.20800000000000002
12.0,40.66,42.9,0.16
13.0,22.0,36.74,0.39
14.0,10.64,31.68,0.39
15.0,22.0,24.6,0.38
16.0,46.38,14.75,0.38
17.0,56.41,6.9,0.365
18.0,65.67,1.0,0.18
19.0,78.58,0.0,0.18899999999999997
20.0,49.1,0.0,0.18
21.0,18.27,0.0,0.27399999999999997
22.0,15.1,0.0,0.267
23.0,10.13,0.0,0.267
